,Month,AREA,AGE,Gender,READ_RT
0,1,강원도,영유아(0-5),남자,20.848
1,1,강원도,영유아(0-5),여자,7.882
2,1,강원도,유아(6-7),남자,19.791
3,1,강원도,유아(6-7),여자,20.372
4,1,강원도,초등(8-13),남자,13.383
5,1,강원도,초등(8-13),여자,18.346
6,1,강원도,청소년(14-19),남자,5.468
7,1,강원도,청소년(14-19),여자,7.476
8,1,강원도,20대,남자,2.352
9,1,강원도,20대,여자,3.087
10,1,강원도,30대,남자,4.079
11,1,강원도,30대,여자,5.43
12,1,강원도,40대,남자,8.449
13,1,강원도,40대,여자,8.078
14,1,강원도,50대,남자,5.853
15,1,강원도,50대,여자,6.179
16,1,강원도,60대이상,남자,9.849
17,1,강원도,60대이상,여자,5.289
18,1,경기도,영유아(0-5),남자,14.703
19,1,경기도,영유아(0-5),여자,13.454
20,1,경기도,유아(6-7),남자,14.378
21,1,경기도,유아(6-7),여자,18.339
22,1,경기도,초등(8-13),남자,14.535
23,1,경기도,초등(8-13),여자,14.774
24,1,경기도,청소년(14-19),남자,3.519
25,1,경기도,청소년(14-19),여자,4.835
26,1,경기도,20대,남자,1.604
27,1,경기도,20대,여자,2.629
28,1,경기도,30대,남자,2.537
29,1,경기도,30대,여자,5.608
30,1,경기도,40대,남자,6.31
31,1,경기도,40대,여자,8.012
32,1,경기도,50대,남자,4.011
33,1,경기도,50대,여자,3.868
34,1,경기도,60대이상,남자,5.608
35,1,경기도,60대이상,여자,4.122
36,1,경상남도,영유아(0-5),남자,10.486
37,1,경상남도,영유아(0-5),여자,14.166
38,1,경상남도,유아(6-7),남자,12.966
39,1,경상남도,유아(6-7),여자,16.685
40,1,경상남도,초등(8-13),남자,11.537
41,1,경상남도,초등(8-13),여자,12.904
42,1,경상남도,청소년(14-19),남자,3.703
43,1,경상남도,청소년(14-19),여자,5.6
44,1,경상남도,20대,남자,1.405
45,1,경상남도,20대,여자,1.888
46,1,경상남도,30대,남자,2.567
47,1,경상남도,30대,여자,5.492
48,1,경상남도,40대,남자,5.225
49,1,경상남도,40대,여자,6.523
50,1,경상남도,50대,남자,3.496
51,1,경상남도,50대,여자,3.35
52,1,경상남도,60대이상,남자,5.472
53,1,경상남도,60대이상,여자,4.4
54,1,경상북도,영유아(0-5),남자,30.357
55,1,경상북도,영유아(0-5),여자,29.046
56,1,경상북도,유아(6-7),남자,41.118
57,1,경상북도,유아(6-7),여자,39.934
58,1,경상북도,초등(8-13),남자,19.231
59,1,경상북도,초등(8-13),여자,19.366
60,1,경상북도,청소년(14-19),남자,6.63
61,1,경상북도,청소년(14-19),여자,10.497
62,1,경상북도,20대,남자,2.484
63,1,경상북도,20대,여자,2.975
64,1,경상북도,30대,남자,4.228
65,1,경상북도,30대,여자,6.936
66,1,경상북도,40대,남자,8.584
67,1,경상북도,40대,여자,9.358
68,1,경상북도,50대,남자,6.164
69,1,경상북도,50대,여자,5.306
70,1,경상북도,60대이상,남자,8.841
71,1,경상북도,60대이상,여자,6.403
72,1,광주광역시,영유아(0-5),남자,79.11
73,1,광주광역시,영유아(0-5),여자,62.343
74,1,광주광역시,유아(6-7),남자,46.997
75,1,광주광역시,유아(6-7),여자,41.107
76,1,광주광역시,초등(8-13),남자,16.834
77,1,광주광역시,초등(8-13),여자,18.84
78,1,광주광역시,청소년(14-19),남자,2.438
79,1,광주광역시,청소년(14-19),여자,5.768
80,1,광주광역시,20대,남자,1.496
81,1,광주광역시,20대,여자,2.033
82,1,광주광역시,30대,남자,2.86
83,1,광주광역시,30대,여자,5.037
84,1,광주광역시,40대,남자,5.05
85,1,광주광역시,40대,여자,5.506
86,1,광주광역시,50대,남자,1.722
87,1,광주광역시,50대,여자,2.863
88,1,광주광역시,60대이상,남자,5.074
89,1,광주광역시,60대이상,여자,3.636
90,1,대구광역시,영유아(0-5),남자,49.77
91,1,대구광역시,영유아(0-5),여자,55.259
92,1,대구광역시,유아(6-7),남자,35.459
93,1,대구광역시,유아(6-7),여자,38.386
94,1,대구광역시,초등(8-13),남자,19.62
95,1,대구광역시,초등(8-13),여자,21.284
96,1,대구광역시,청소년(14-19),남자,8.687
97,1,대구광역시,청소년(14-19),여자,11.469
98,1,대구광역시,20대,남자,5.012
99,1,대구광역시,20대,여자,4.52
100,1,대구광역시,30대,남자,8.969
101,1,대구광역시,30대,여자,13.731
102,1,대구광역시,40대,남자,14.602
103,1,대구광역시,40대,여자,16.867
104,1,대구광역시,50대,남자,13.109
105,1,대구광역시,50대,여자,11.435
106,1,대구광역시,60대이상,남자,15.952
107,1,대구광역시,60대이상,여자,11.503
108,1,대전광역시,영유아(0-5),남자,43.631
109,1,대전광역시,영유아(0-5),여자,41.085
110,1,대전광역시,유아(6-7),남자,38.128
111,1,대전광역시,유아(6-7),여자,38.103
112,1,대전광역시,초등(8-13),남자,19.165
113,1,대전광역시,초등(8-13),여자,15.944
114,1,대전광역시,청소년(14-19),남자,5.851
115,1,대전광역시,청소년(14-19),여자,7.806
116,1,대전광역시,20대,남자,2.201
117,1,대전광역시,20대,여자,3.02
118,1,대전광역시,30대,남자,4.404
119,1,대전광역시,30대,여자,7.39
120,1,대전광역시,40대,남자,10.73
121,1,대전광역시,40대,여자,10.753
122,1,대전광역시,50대,남자,7.359
123,1,대전광역시,50대,여자,7.004
124,1,대전광역시,60대이상,남자,11.031
125,1,대전광역시,60대이상,여자,7.303
126,1,부산광역시,영유아(0-5),남자,12.255
127,1,부산광역시,영유아(0-5),여자,87.46
128,1,부산광역시,유아(6-7),남자,57.489
129,1,부산광역시,유아(6-7),여자,62.912
130,1,부산광역시,초등(8-13),남자,27.563
131,1,부산광역시,초등(8-13),여자,28.638
132,1,부산광역시,청소년(14-19),남자,6.083
133,1,부산광역시,청소년(14-19),여자,8.47
134,1,부산광역시,20대,남자,2.386
135,1,부산광역시,20대,여자,3.002
136,1,부산광역시,30대,남자,4.238
137,1,부산광역시,30대,여자,7.949
138,1,부산광역시,40대,남자,11.714
139,1,부산광역시,40대,여자,12.308
140,1,부산광역시,50대,남자,7.32
141,1,부산광역시,50대,여자,4.855
142,1,부산광역시,60대이상,남자,8.877
143,1,부산광역시,60대이상,여자,7.701
144,1,서울특별시,영유아(0-5),남자,35.168
145,1,서울특별시,영유아(0-5),여자,42.212
146,1,서울특별시,유아(6-7),남자,22.66
147,1,서울특별시,유아(6-7),여자,29.228
148,1,서울특별시,초등(8-13),남자,14.537
149,1,서울특별시,초등(8-13),여자,16.694
150,1,서울특별시,청소년(14-19),남자,3.479
151,1,서울특별시,청소년(14-19),여자,5.033
152,1,서울특별시,20대,남자,1.366
153,1,서울특별시,20대,여자,2.459
154,1,서울특별시,30대,남자,1.935
155,1,서울특별시,30대,여자,3.809
156,1,서울특별시,40대,남자,4.983
157,1,서울특별시,40대,여자,6.801
158,1,서울특별시,50대,남자,3.828
159,1,서울특별시,50대,여자,4.077
160,1,서울특별시,60대이상,남자,4.717
161,1,서울특별시,60대이상,여자,4.256
162,1,세종특별자치시,영유아(0-5),남자,123.81
163,1,세종특별자치시,영유아(0-5),여자,31.707
164,1,세종특별자치시,유아(6-7),남자,33.85
165,1,세종특별자치시,유아(6-7),여자,20.625
166,1,세종특별자치시,초등(8-13),남자,11.83
167,1,세종특별자치시,초등(8-13),여자,13.009
168,1,세종특별자치시,청소년(14-19),남자,6.377
169,1,세종특별자치시,청소년(14-19),여자,8.305
170,1,세종특별자치시,20대,남자,3.074
171,1,세종특별자치시,20대,여자,5.124
172,1,세종특별자치시,30대,남자,6.374
173,1,세종특별자치시,30대,여자,8.854
174,1,세종특별자치시,40대,남자,9.108
175,1,세종특별자치시,40대,여자,9.19
176,1,세종특별자치시,50대,남자,7.342
177,1,세종특별자치시,50대,여자,7.036
178,1,세종특별자치시,60대이상,남자,8.245
179,1,세종특별자치시,60대이상,여자,9.777
180,1,울산광역시,영유아(0-5),남자,26.578
181,1,울산광역시,영유아(0-5),여자,28.946
182,1,울산광역시,유아(6-7),남자,25.95
183,1,울산광역시,유아(6-7),여자,34.559
184,1,울산광역시,초등(8-13),남자,15.007
185,1,울산광역시,초등(8-13),여자,18.37
186,1,울산광역시,청소년(14-19),남자,3.716
187,1,울산광역시,청소년(14-19),여자,7.629
188,1,울산광역시,20대,남자,1.865
189,1,울산광역시,20대,여자,2.361
190,1,울산광역시,30대,남자,4.108
191,1,울산광역시,30대,여자,6.998
192,1,울산광역시,40대,남자,8.08
193,1,울산광역시,40대,여자,7.913
194,1,울산광역시,50대,남자,3.699
195,1,울산광역시,50대,여자,3.662
196,1,울산광역시,60대이상,남자,6.63
197,1,울산광역시,60대이상,여자,5.425
198,1,인천광역시,영유아(0-5),남자,18.585
199,1,인천광역시,영유아(0-5),여자,11.039
200,1,인천광역시,유아(6-7),남자,14.286
201,1,인천광역시,유아(6-7),여자,13.231
202,1,인천광역시,초등(8-13),남자,7.949
203,1,인천광역시,초등(8-13),여자,8.362
204,1,인천광역시,청소년(14-19),남자,2.458
205,1,인천광역시,청소년(14-19),여자,3.722
206,1,인천광역시,20대,남자,1.033
207,1,인천광역시,20대,여자,1.488
208,1,인천광역시,30대,남자,1.126
209,1,인천광역시,30대,여자,1.82
210,1,인천광역시,40대,남자,2.169
211,1,인천광역시,40대,여자,2.584
212,1,인천광역시,50대,남자,2.093
213,1,인천광역시,50대,여자,1.575
214,1,인천광역시,60대이상,남자,3.196
215,1,인천광역시,60대이상,여자,1.933
216,1,전라남도,영유아(0-5),남자,27.345
217,1,전라남도,영유아(0-5),여자,4.454
218,1,전라남도,유아(6-7),남자,35.797
219,1,전라남도,유아(6-7),여자,27.357
220,1,전라남도,초등(8-13),남자,15.788
221,1,전라남도,초등(8-13),여자,16.237
222,1,전라남도,청소년(14-19),남자,5.518
223,1,전라남도,청소년(14-19),여자,8.349
224,1,전라남도,20대,남자,1.929
225,1,전라남도,20대,여자,2.842
226,1,전라남도,30대,남자,3.525
227,1,전라남도,30대,여자,7.366
228,1,전라남도,40대,남자,6.663
229,1,전라남도,40대,여자,7.783
230,1,전라남도,50대,남자,5.261
231,1,전라남도,50대,여자,4.706
232,1,전라남도,60대이상,남자,6.826
233,1,전라남도,60대이상,여자,6.052
234,1,전라북도,영유아(0-5),남자,45.989
235,1,전라북도,영유아(0-5),여자,57.547
236,1,전라북도,유아(6-7),남자,33.333
237,1,전라북도,유아(6-7),여자,33.391
238,1,전라북도,초등(8-13),남자,16.5
239,1,전라북도,초등(8-13),여자,15.665
240,1,전라북도,청소년(14-19),남자,4.975
241,1,전라북도,청소년(14-19),여자,6.351
242,1,전라북도,20대,남자,1.819
243,1,전라북도,20대,여자,2.892
244,1,전라북도,30대,남자,3.045
245,1,전라북도,30대,여자,6.849
246,1,전라북도,40대,남자,5.438
247,1,전라북도,40대,여자,6.95
248,1,전라북도,50대,남자,3.4
249,1,전라북도,50대,여자,3.682
250,1,전라북도,60대이상,남자,6.336
251,1,전라북도,60대이상,여자,4.748
252,1,제주특별자치도,영유아(0-5),남자,69.507
253,1,제주특별자치도,영유아(0-5),여자,65.99
254,1,제주특별자치도,유아(6-7),남자,47.183
255,1,제주특별자치도,유아(6-7),여자,48.855
256,1,제주특별자치도,초등(8-13),남자,23.515
257,1,제주특별자치도,초등(8-13),여자,25.203
258,1,제주특별자치도,청소년(14-19),남자,6.523
259,1,제주특별자치도,청소년(14-19),여자,8.999
260,1,제주특별자치도,20대,남자,3.433
261,1,제주특별자치도,20대,여자,5.739
262,1,제주특별자치도,30대,남자,7.364
263,1,제주특별자치도,30대,여자,13.523
264,1,제주특별자치도,40대,남자,13.89
265,1,제주특별자치도,40대,여자,13.867
266,1,제주특별자치도,50대,남자,8.804
267,1,제주특별자치도,50대,여자,11.642
268,1,제주특별자치도,60대이상,남자,15.928
269,1,제주특별자치도,60대이상,여자,8.872
270,1,충청남도,영유아(0-5),남자,24.852
271,1,충청남도,영유아(0-5),여자,13.304
272,1,충청남도,유아(6-7),남자,24.525
273,1,충청남도,유아(6-7),여자,17.395
274,1,충청남도,초등(8-13),남자,18.455
275,1,충청남도,초등(8-13),여자,19.384
276,1,충청남도,청소년(14-19),남자,5.107
277,1,충청남도,청소년(14-19),여자,7.206
278,1,충청남도,20대,남자,1.693
279,1,충청남도,20대,여자,2.609
280,1,충청남도,30대,남자,3.914
281,1,충청남도,30대,여자,7.404
282,1,충청남도,40대,남자,7.09
283,1,충청남도,40대,여자,7.696
284,1,충청남도,50대,남자,4.806
285,1,충청남도,50대,여자,4.174
286,1,충청남도,60대이상,남자,6.05
287,1,충청남도,60대이상,여자,5.175
288,1,충청북도,영유아(0-5),남자,53.254
289,1,충청북도,영유아(0-5),여자,54.433
290,1,충청북도,유아(6-7),남자,35.976
291,1,충청북도,유아(6-7),여자,32.958
292,1,충청북도,초등(8-13),남자,17.286
293,1,충청북도,초등(8-13),여자,18.462
294,1,충청북도,청소년(14-19),남자,5.491
295,1,충청북도,청소년(14-19),여자,7.077
296,1,충청북도,20대,남자,2.034
297,1,충청북도,20대,여자,2.794
298,1,충청북도,30대,남자,3.826
299,1,충청북도,30대,여자,6.673
300,1,충청북도,40대,남자,7.597
301,1,충청북도,40대,여자,8.313
302,1,충청북도,50대,남자,5.126
303,1,충청북도,50대,여자,5.352
304,1,충청북도,60대이상,남자,8.641
305,1,충청북도,60대이상,여자,6.881
306,2,강원도,영유아(0-5),남자,20.504
307,2,강원도,영유아(0-5),여자,7.462
308,2,강원도,유아(6-7),남자,17.78
309,2,강원도,유아(6-7),여자,19.099
310,2,강원도,초등(8-13),남자,11.678
311,2,강원도,초등(8-13),여자,15.494
312,2,강원도,청소년(14-19),남자,4.0
313,2,강원도,청소년(14-19),여자,5.644
314,2,강원도,20대,남자,2.038
315,2,강원도,20대,여자,2.598
316,2,강원도,30대,남자,3.632
317,2,강원도,30대,여자,4.616
318,2,강원도,40대,남자,7.202
319,2,강원도,40대,여자,6.672
320,2,강원도,50대,남자,5.335
321,2,강원도,50대,여자,5.024
322,2,강원도,60대이상,남자,9.231
323,2,강원도,60대이상,여자,4.533
324,2,경기도,영유아(0-5),남자,11.075
325,2,경기도,영유아(0-5),여자,10.311
326,2,경기도,유아(6-7),남자,10.811
327,2,경기도,유아(6-7),여자,13.999
328,2,경기도,초등(8-13),남자,11.076
329,2,경기도,초등(8-13),여자,11.081
330,2,경기도,청소년(14-19),남자,2.744
331,2,경기도,청소년(14-19),여자,3.565
332,2,경기도,20대,남자,1.325
333,2,경기도,20대,여자,2.139
334,2,경기도,30대,남자,2.121
335,2,경기도,30대,여자,4.307
336,2,경기도,40대,남자,5.248
337,2,경기도,40대,여자,6.277
338,2,경기도,50대,남자,3.502
339,2,경기도,50대,여자,3.264
340,2,경기도,60대이상,남자,4.98
341,2,경기도,60대이상,여자,3.551
342,2,경상남도,영유아(0-5),남자,8.542
343,2,경상남도,영유아(0-5),여자,11.357
344,2,경상남도,유아(6-7),남자,10.273
345,2,경상남도,유아(6-7),여자,12.532
346,2,경상남도,초등(8-13),남자,8.11
347,2,경상남도,초등(8-13),여자,8.614
348,2,경상남도,청소년(14-19),남자,2.931
349,2,경상남도,청소년(14-19),여자,3.897
350,2,경상남도,20대,남자,1.136
351,2,경상남도,20대,여자,1.512
352,2,경상남도,30대,남자,2.208
353,2,경상남도,30대,여자,4.22
354,2,경상남도,40대,남자,4.236
355,2,경상남도,40대,여자,4.919
356,2,경상남도,50대,남자,2.907
357,2,경상남도,50대,여자,2.829
358,2,경상남도,60대이상,남자,5.124
359,2,경상남도,60대이상,여자,3.793
360,2,경상북도,영유아(0-5),남자,21.023
361,2,경상북도,영유아(0-5),여자,20.358
362,2,경상북도,유아(6-7),남자,29.709
363,2,경상북도,유아(6-7),여자,27.589
364,2,경상북도,초등(8-13),남자,12.809
365,2,경상북도,초등(8-13),여자,12.976
366,2,경상북도,청소년(14-19),남자,4.183
367,2,경상북도,청소년(14-19),여자,6.127
368,2,경상북도,20대,남자,1.84
369,2,경상북도,20대,여자,2.186
370,2,경상북도,30대,남자,3.246
371,2,경상북도,30대,여자,4.749
372,2,경상북도,40대,남자,6.608
373,2,경상북도,40대,여자,6.737
374,2,경상북도,50대,남자,4.538
375,2,경상북도,50대,여자,3.908
376,2,경상북도,60대이상,남자,7.221
377,2,경상북도,60대이상,여자,4.991
378,2,광주광역시,영유아(0-5),남자,61.986
379,2,광주광역시,영유아(0-5),여자,45.607
380,2,광주광역시,유아(6-7),남자,33.943
381,2,광주광역시,유아(6-7),여자,28.356
382,2,광주광역시,초등(8-13),남자,11.269
383,2,광주광역시,초등(8-13),여자,12.416
384,2,광주광역시,청소년(14-19),남자,1.589
385,2,광주광역시,청소년(14-19),여자,3.147
386,2,광주광역시,20대,남자,0.959
387,2,광주광역시,20대,여자,1.406
388,2,광주광역시,30대,남자,2.038
389,2,광주광역시,30대,여자,3.181
390,2,광주광역시,40대,남자,3.607
391,2,광주광역시,40대,여자,3.678
392,2,광주광역시,50대,남자,1.308
393,2,광주광역시,50대,여자,2.101
394,2,광주광역시,60대이상,남자,4.231
395,2,광주광역시,60대이상,여자,2.542
396,2,대구광역시,영유아(0-5),남자,34.763
397,2,대구광역시,영유아(0-5),여자,38.462
398,2,대구광역시,유아(6-7),남자,25.0
399,2,대구광역시,유아(6-7),여자,26.987
400,2,대구광역시,초등(8-13),남자,12.112
401,2,대구광역시,초등(8-13),여자,13.311
402,2,대구광역시,청소년(14-19),남자,4.313
403,2,대구광역시,청소년(14-19),여자,5.896
404,2,대구광역시,20대,남자,2.547
405,2,대구광역시,20대,여자,2.418
406,2,대구광역시,30대,남자,4.971
407,2,대구광역시,30대,여자,8.051
408,2,대구광역시,40대,남자,9.349
409,2,대구광역시,40대,여자,9.892
410,2,대구광역시,50대,남자,7.147
411,2,대구광역시,50대,여자,6.929
412,2,대구광역시,60대이상,남자,8.788
413,2,대구광역시,60대이상,여자,6.944
414,2,대전광역시,영유아(0-5),남자,36.164
415,2,대전광역시,영유아(0-5),여자,33.178
416,2,대전광역시,유아(6-7),남자,31.864
417,2,대전광역시,유아(6-7),여자,30.604
418,2,대전광역시,초등(8-13),남자,14.345
419,2,대전광역시,초등(8-13),여자,11.364
420,2,대전광역시,청소년(14-19),남자,4.483
421,2,대전광역시,청소년(14-19),여자,5.757
422,2,대전광역시,20대,남자,1.876
423,2,대전광역시,20대,여자,2.34
424,2,대전광역시,30대,남자,3.691
425,2,대전광역시,30대,여자,5.67
426,2,대전광역시,40대,남자,8.888
427,2,대전광역시,40대,여자,8.252
428,2,대전광역시,50대,남자,6.056
429,2,대전광역시,50대,여자,5.876
430,2,대전광역시,60대이상,남자,9.341
431,2,대전광역시,60대이상,여자,6.363
432,2,부산광역시,영유아(0-5),남자,10.196
433,2,부산광역시,영유아(0-5),여자,76.527
434,2,부산광역시,유아(6-7),남자,45.681
435,2,부산광역시,유아(6-7),여자,48.551
436,2,부산광역시,초등(8-13),남자,19.324
437,2,부산광역시,초등(8-13),여자,19.31
438,2,부산광역시,청소년(14-19),남자,4.264
439,2,부산광역시,청소년(14-19),여자,5.475
440,2,부산광역시,20대,남자,1.894
441,2,부산광역시,20대,여자,2.314
442,2,부산광역시,30대,남자,3.347
443,2,부산광역시,30대,여자,5.722
444,2,부산광역시,40대,남자,9.068
445,2,부산광역시,40대,여자,8.886
446,2,부산광역시,50대,남자,6.018
447,2,부산광역시,50대,여자,3.894
448,2,부산광역시,60대이상,남자,8.001
449,2,부산광역시,60대이상,여자,6.451
450,2,서울특별시,영유아(0-5),남자,19.315
451,2,서울특별시,영유아(0-5),여자,24.014
452,2,서울특별시,유아(6-7),남자,12.517
453,2,서울특별시,유아(6-7),여자,16.345
454,2,서울특별시,초등(8-13),남자,7.689
455,2,서울특별시,초등(8-13),여자,8.597
456,2,서울특별시,청소년(14-19),남자,1.678
457,2,서울특별시,청소년(14-19),여자,2.394
458,2,서울특별시,20대,남자,0.738
459,2,서울특별시,20대,여자,1.314
460,2,서울특별시,30대,남자,1.16
461,2,서울특별시,30대,여자,2.047
462,2,서울특별시,40대,남자,2.911
463,2,서울특별시,40대,여자,3.556
464,2,서울특별시,50대,남자,2.327
465,2,서울특별시,50대,여자,2.224
466,2,서울특별시,60대이상,남자,3.029
467,2,서울특별시,60대이상,여자,2.473
468,2,세종특별자치시,영유아(0-5),남자,83.333
469,2,세종특별자치시,영유아(0-5),여자,35.366
470,2,세종특별자치시,유아(6-7),남자,28.424
471,2,세종특별자치시,유아(6-7),여자,16.25
472,2,세종특별자치시,초등(8-13),남자,9.393
473,2,세종특별자치시,초등(8-13),여자,9.526
474,2,세종특별자치시,청소년(14-19),남자,4.848
475,2,세종특별자치시,청소년(14-19),여자,5.518
476,2,세종특별자치시,20대,남자,2.527
477,2,세종특별자치시,20대,여자,3.749
478,2,세종특별자치시,30대,남자,5.126
479,2,세종특별자치시,30대,여자,6.424
480,2,세종특별자치시,40대,남자,6.881
481,2,세종특별자치시,40대,여자,7.179
482,2,세종특별자치시,50대,남자,6.004
483,2,세종특별자치시,50대,여자,5.934
484,2,세종특별자치시,60대이상,남자,7.266
485,2,세종특별자치시,60대이상,여자,7.973
486,2,울산광역시,영유아(0-5),남자,21.746
487,2,울산광역시,영유아(0-5),여자,24.615
488,2,울산광역시,유아(6-7),남자,21.491
489,2,울산광역시,유아(6-7),여자,26.471
490,2,울산광역시,초등(8-13),남자,11.445
491,2,울산광역시,초등(8-13),여자,13.318
492,2,울산광역시,청소년(14-19),남자,2.649
493,2,울산광역시,청소년(14-19),여자,5.233
494,2,울산광역시,20대,남자,1.407
495,2,울산광역시,20대,여자,1.905
496,2,울산광역시,30대,남자,3.575
497,2,울산광역시,30대,여자,5.186
498,2,울산광역시,40대,남자,6.587
499,2,울산광역시,40대,여자,5.972
500,2,울산광역시,50대,남자,3.279
501,2,울산광역시,50대,여자,2.926
502,2,울산광역시,60대이상,남자,5.791
503,2,울산광역시,60대이상,여자,4.427
504,2,인천광역시,영유아(0-5),남자,11.827
505,2,인천광역시,영유아(0-5),여자,7.489
506,2,인천광역시,유아(6-7),남자,8.378
507,2,인천광역시,유아(6-7),여자,8.682
508,2,인천광역시,초등(8-13),남자,5.019
509,2,인천광역시,초등(8-13),여자,5.149
510,2,인천광역시,청소년(14-19),남자,1.446
511,2,인천광역시,청소년(14-19),여자,2.203
512,2,인천광역시,20대,남자,0.725
513,2,인천광역시,20대,여자,1.037
514,2,인천광역시,30대,남자,0.856
515,2,인천광역시,30대,여자,1.25
516,2,인천광역시,40대,남자,1.557
517,2,인천광역시,40대,여자,1.79
518,2,인천광역시,50대,남자,1.667
519,2,인천광역시,50대,여자,1.219
520,2,인천광역시,60대이상,남자,2.781
521,2,인천광역시,60대이상,여자,1.59
522,2,전라남도,영유아(0-5),남자,18.762
523,2,전라남도,영유아(0-5),여자,3.563
524,2,전라남도,유아(6-7),남자,28.696
525,2,전라남도,유아(6-7),여자,22.444
526,2,전라남도,초등(8-13),남자,10.724
527,2,전라남도,초등(8-13),여자,10.783
528,2,전라남도,청소년(14-19),남자,4.349
529,2,전라남도,청소년(14-19),여자,6.132
530,2,전라남도,20대,남자,1.766
531,2,전라남도,20대,여자,2.372
532,2,전라남도,30대,남자,2.902
533,2,전라남도,30대,여자,5.474
534,2,전라남도,40대,남자,5.383
535,2,전라남도,40대,여자,5.717
536,2,전라남도,50대,남자,4.1
537,2,전라남도,50대,여자,4.15
538,2,전라남도,60대이상,남자,6.028
539,2,전라남도,60대이상,여자,4.973
540,2,전라북도,영유아(0-5),남자,37.701
541,2,전라북도,영유아(0-5),여자,34.456
542,2,전라북도,유아(6-7),남자,23.14
543,2,전라북도,유아(6-7),여자,26.644
544,2,전라북도,초등(8-13),남자,11.526
545,2,전라북도,초등(8-13),여자,10.229
546,2,전라북도,청소년(14-19),남자,3.279
547,2,전라북도,청소년(14-19),여자,3.822
548,2,전라북도,20대,남자,1.463
549,2,전라북도,20대,여자,2.097
550,2,전라북도,30대,남자,2.128
551,2,전라북도,30대,여자,4.838
552,2,전라북도,40대,남자,3.757
553,2,전라북도,40대,여자,4.784
554,2,전라북도,50대,남자,2.522
555,2,전라북도,50대,여자,2.947
556,2,전라북도,60대이상,남자,5.354
557,2,전라북도,60대이상,여자,3.698
558,2,제주특별자치도,영유아(0-5),남자,56.502
559,2,제주특별자치도,영유아(0-5),여자,55.838
560,2,제주특별자치도,유아(6-7),남자,40.845
561,2,제주특별자치도,유아(6-7),여자,41.412
562,2,제주특별자치도,초등(8-13),남자,19.598
563,2,제주특별자치도,초등(8-13),여자,19.562
564,2,제주특별자치도,청소년(14-19),남자,5.425
565,2,제주특별자치도,청소년(14-19),여자,6.687
566,2,제주특별자치도,20대,남자,3.007
567,2,제주특별자치도,20대,여자,4.523
568,2,제주특별자치도,30대,남자,6.201
569,2,제주특별자치도,30대,여자,10.679
570,2,제주특별자치도,40대,남자,11.54
571,2,제주특별자치도,40대,여자,10.879
572,2,제주특별자치도,50대,남자,8.161
573,2,제주특별자치도,50대,여자,8.855
574,2,제주특별자치도,60대이상,남자,14.186
575,2,제주특별자치도,60대이상,여자,7.656
576,2,충청남도,영유아(0-5),남자,19.185
577,2,충청남도,영유아(0-5),여자,9.484
578,2,충청남도,유아(6-7),남자,18.043
579,2,충청남도,유아(6-7),여자,11.64
580,2,충청남도,초등(8-13),남자,13.024
581,2,충청남도,초등(8-13),여자,13.72
582,2,충청남도,청소년(14-19),남자,3.61
583,2,충청남도,청소년(14-19),여자,3.924
584,2,충청남도,20대,남자,1.461
585,2,충청남도,20대,여자,2.044
586,2,충청남도,30대,남자,3.095
587,2,충청남도,30대,여자,5.335
588,2,충청남도,40대,남자,5.501
589,2,충청남도,40대,여자,5.71
590,2,충청남도,50대,남자,3.909
591,2,충청남도,50대,여자,3.313
592,2,충청남도,60대이상,남자,5.242
593,2,충청남도,60대이상,여자,3.948
594,2,충청북도,영유아(0-5),남자,50.296
595,2,충청북도,영유아(0-5),여자,48.66
596,2,충청북도,유아(6-7),남자,29.071
597,2,충청북도,유아(6-7),여자,26.019
598,2,충청북도,초등(8-13),남자,14.256
599,2,충청북도,초등(8-13),여자,14.935
600,2,충청북도,청소년(14-19),남자,4.655
601,2,충청북도,청소년(14-19),여자,5.362
602,2,충청북도,20대,남자,1.704
603,2,충청북도,20대,여자,2.292
604,2,충청북도,30대,남자,3.323
605,2,충청북도,30대,여자,5.402
606,2,충청북도,40대,남자,6.314
607,2,충청북도,40대,여자,6.886
608,2,충청북도,50대,남자,4.587
609,2,충청북도,50대,여자,4.613
